freq_core (GHz),freq_noc (GHz),Xbar_size,N_tile,N_pe,N_tile(real),N_tier(real),N_stack(real),W2d,W3d,Computing_latency (ns),Computing_energy (pJ),compute_area (um2),chip area (mm2),chip_Architecture,2d NoC latency (ns),3d NoC latency (ns),2.5d NoC latency (ns),network_latency (ns),2d NoC energy (pJ),3d NoC energy (pJ),2.5d NoC energy (pJ),network_energy (pJ),rcc (compute latency/communciation latency),Throughput(TFLOPS/s),2D_3D_NoC_power (W),2_5D_power (W),2d_3d_router_area (mm2),placement_method,percent_router,peak_temperature (C),thermal simulation time (s),networking simulation time (s),computing simulation time (s),total simulation time (s)
1,1,1024,100,9,100,2,2,32,242,12148852.46873797,35247425383.76255,4840636943.112063,2581.451046109715,M3_5D,6002110.1875,162339.01652892563,24107.314380950003,6188556.518409876,418518228.17148066,4351467.511323968,662466.7815147071,423532162.46431935,1.9631157011489275,2.1144182973273287,0.09653333092409554,0.027479908008259904,4.280470732800001,5,1,NaN,2.0742416381835938e-05,2.272751569747925,0.029053926467895508,2.301826238632202
1,1,1024,64,36,64,2,2,32,242,20667308.01273829,39145755609.2092,12392030574.366882,6404.492212413364,M3_5D,8479018.625,39034.42148760331,2737.7391726000005,8520790.785660204,394006999.3308626,837618.5383720496,75232.82061365759,394919850.6898483,2.42551525235424,0.37225284109961165,0.067926926390623,0.0274799080082599,2.84132384768,5,1,NaN,2.0265579223632812e-05,1.450702428817749,0.04560375213623047,1.4963264465332031
1,1,1024,81,36,81,2,1,32,1458,20667308.01273829,39145755609.2092,7841831847.841543,4310.470370002385,M3D,8562468.9375,36023.41700960219,0,8598492.354509601,253753808.11829033,8154820.857044501,0,261908628.97533482,2.403596719127049,0.371264498754652,0.2560111392670083,0,18.734191994880007,5,1,NaN,1.8596649169921875e-05,0.9693920612335205,0.01893472671508789,0.9883453845977783
1,1,1024,81,36,81,2,1,32,648,20667308.01273829,39145755609.2092,7841831847.841543,4126.87236207364,M3D,8562468.9375,38021.43827160494,0,8600490.375771604,253753808.11829033,2031150.1957085333,0,255784958.31399888,2.4030383280190692,0.3712391536859013,0.08305677132619485,0,5.559634944000003,5,1,NaN,1.6927719116210938e-05,0.9640951156616211,0.018502473831176758,0.9826145172119141
1,1,1024,81,36,81,2,1,32,338,20667308.01273829,39145755609.2092,7841831847.841543,4056.4535894636565,M3D,8562468.9375,41319.94674556213,0,8603788.884245561,253753808.11829033,823891.483723599,0,254577699.60201395,2.402117054566773,0.3711973193980163,0.04957490495498064,0,2.5909878067200003,5,1,NaN,1.7881393432617188e-05,0.971376895904541,0.0185544490814209,0.9899492263793945
1,1,1024,81,36,81,2,1,32,242,20667308.01273829,39145755609.2092,7841831847.841543,4034.310809135452,M3D,8562468.9375,44055.13223140496,0,8606524.069731405,253753808.11829033,574946.9387688128,0,254328755.05705914,2.4013536527974044,0.37116263676686845,0.04268621213159746,0,1.9044282470400002,5,1,NaN,1.5497207641601562e-05,0.8730566501617432,0.01865100860595703,0.8917231559753418
1,1,1024,81,36,81,2,1,32,50,20667308.01273829,39145755609.2092,7841831847.841543,3988.2665832264192,M3D,8562468.9375,81034.84,0,8643503.7775,253753808.11829033,236453.3021998725,0,253990261.4204902,2.3910798843563406,0.3706943629455739,0.03255351025410574,0,0.861535070208,5,1,NaN,1.5974044799804688e-05,0.9770119190216064,0.020474910736083984,0.9975028038024902
1,1,1024,81,36,81,2,1,32,8,20667308.01273829,39145755609.2092,7841831847.841543,3977.4104450424593,M3D,8562468.9375,325736.5,0,8888205.4375,253753808.11829033,179738.941717407,0,253933547.06000775,2.3252509359810003,0.3676252392736692,0.03018738120122773,0,0.6920946892800002,5,1,NaN,1.7642974853515625e-05,0.948610782623291,0.02015089988708496,0.9687793254852295
1,1,1024,81,36,81,2,1,6,50,20667308.01273829,39145755609.2092,7841831847.841543,3959.8626672678383,M3D,43732989.333333336,81034.84,0,43814024.17333334,244967288.09624434,236453.3021998725,0,245203741.3984442,0.47170531359950035,0.16850384965134116,0.008519351724652593,0,0.24647566233600005,5,1,NaN,1.6450881958007812e-05,0.9548847675323486,0.01896953582763672,0.9738707542419434
1,1,1024,81,36,81,2,1,11,98,20667308.01273829,39145755609.2092,7841831847.841543,3978.9960399246197,M3D,24057173.727272727,58205.5306122449,0,24115379.25788497,246600411.11174038,304378.0001250667,0,246904789.11186546,0.857017747543022,0.24262395506415935,0.01547996337013543,0,0.5260105128960001,5,1,NaN,1.7404556274414062e-05,0.9585509300231934,0.018539905548095703,0.9771082401275635
